date	job	kind	stage	model	in	out	thinking	cache_read	cache_write	usd	source
2026-09-22	_check	nre	generate	claude-opus-5	2	2030	0	25248	15285	0.216234	cli
2026-09-22	_check	nre	generate	claude-opus-5	2	2093	0	25248	15300	0.217959	cli
2026-09-22	_check	nre	generate	claude-opus-5	2	2097	0	25248	15301	0.218069	cli
2026-09-22	_check	nre	generate	claude-opus-5	2	2193	0	25248	15294	0.220399	cli
2026-09-22	_check	nre	generate	claude-opus-5	2	2010	0	25248	15303	0.215914	cli
2026-09-22	_check	nre	generate	claude-opus-5	2	2306	0	25248	15296	0.223244	cli
2026-09-22	_check	nre	generate	claude-opus-5	2	2043	0	25248	15303	0.216739	cli
2026-09-22	Buzz	nre	generate	claude-opus-5	2	3097	1039	0	28748	0.364915	cli
2026-09-22	_m	nre	generate	stub	unknown	unknown	unknown	unknown	unknown	unknown	no-usage-returned
2026-09-22	Buzz	nre	generate	claude-opus-5	2	4193	2028	14311	14463	0.256620	cli
2026-09-22	_g1	nre	generate	claude-opus-5	2	3252	1470	0	42328	0.504590	cli
2026-09-22	_g2	nre	generate	claude-opus-5	2	3556	2026	25248	17066	0.272194	cli
2026-09-22	Buzz	nre	generate	claude-opus-5	2	1440	0	0	30323	0.339240	cli
2026-09-22	_check	nre	generate	claude-opus-5	2	1436	0	25248	16871	0.217244	cli
2026-09-22	_rv	nre	generate	claude-opus-5	2	1368	0	25248	16955	0.216384	cli
2026-09-22	_rv	nre	generate	claude-opus-5	2	1489	0	25248	17073	0.220589	cli
2026-09-22	_rv	nre	generate	claude-opus-5	2	2203	814	25248	17202	0.239729	cli
2026-09-22	_rv	nre	generate	claude-opus-5	2	1664	188	25248	18683	0.241064	cli
2026-09-22	_sil	nre	generate	claude-opus-5	2	1783	0	25248	17086	0.228069	cli
2026-09-22	_p	nre	generate	claude-opus-5	2	1750	0	25248	17105	0.227434	cli
2026-09-22	_p	nre	generate	claude-opus-5	2	2218	448	25248	18948	0.257564	cli
2026-09-22	_p2	nre	generate	stub	unknown	unknown	unknown	unknown	unknown	unknown	no-usage-returned
2026-09-22	_p2	nre	generate	stub	unknown	unknown	unknown	unknown	unknown	unknown	no-usage-returned
2026-09-22	_p3	nre	generate	stub	unknown	unknown	unknown	unknown	unknown	unknown	no-usage-returned
2026-09-22	_p3	nre	generate	stub	unknown	unknown	unknown	unknown	unknown	unknown	no-usage-returned
2026-09-22	_check	nre	generate	claude-opus-5	2	1473	0	25248	16874	0.218199	cli
2026-09-22	_check	nre	generate	claude-opus-5	2	1423	0	25248	16903	0.217239	cli
2026-09-22	_check	nre	generate	claude-opus-5	2	2057	603	25248	16886	0.232919	cli
2026-09-22	_check	nre	generate	claude-opus-5	2	1532	0	25248	16888	0.219814	cli
2026-09-22	Buzz	nre	generate	claude-opus-5	2	5883	4151	0	31922	0.466305	cli
2026-09-22	_check	nre	generate	claude-opus-5	2	1363	0	25248	17271	0.219419	cli
2026-09-22	Buzz	nre	generate	claude-opus-5	2	1564	0	14311	15999	0.206256	cli
2026-09-22	Buzz	nre	generate	claude-opus-5	2	4754	2839	14311	17729	0.303306	cli
2026-09-22	_check	nre	generate	claude-opus-5	2	1456	0	25248	16870	0.217734	cli
2026-09-23	_sample	nre	generate	claude-opus-5	2	1802	0	0	42634	0.471400	cli
2026-09-23	team-N	nre	generate	claude-opus-5	2	1805	0	0	30720	0.352335	cli
2026-09-23	team-N	nre	generate	claude-opus-5	2	1775	0	14311	16421	0.215751	cli
